,Accuracy,Precision,Recall (Sensitivity),Specificity,F1-Score,ROC-AUC,Balanced Accuracy
Chronos,0.78375,0.748587570621469,0.7593123209169055,0.802660753880266,0.7539118065433855,0.858957172536039,0.7809865373985858
ViT,0.7314814814814815,0.6335174953959485,0.9124668435013262,0.5913757700205339,0.7478260869565218,0.7875533091138841,0.75192130676093
LightGBM,0.7164351851851852,0.6571428571428571,0.7320954907161804,0.704312114989733,0.6925972396486826,0.6949329789377937,0.7182038028529567
ResNet18,0.6793981481481481,0.5957854406130269,0.8249336870026526,0.5667351129363449,0.6918798665183538,0.6969700270698642,0.6958343999694987
EfficientNet,0.6793981481481481,0.59765625,0.8116710875331565,0.5770020533880903,0.688413948256468,0.6608641659268296,0.6943365704606235
RandomForest,0.7002314814814815,0.6411483253588517,0.7108753315649867,0.6919917864476386,0.6742138364779874,0.7326782825614518,0.7014335590063127
XGBoost,0.6967592592592593,0.639225181598063,0.7002652519893899,0.6940451745379876,0.6683544303797468,0.6869699726033366,0.6971552132636888
SVM,0.6886574074074074,0.6336633663366337,0.6790450928381963,0.6960985626283368,0.6555697823303457,0.7248459958932238,0.6875718277332665
CNN,0.6666666666666666,0.6052009456264775,0.6790450928381963,0.6570841889117043,0.64,0.6391483613745174,0.6680646408749502
LogisticRegression,0.6388888888888888,0.5704989154013015,0.6976127320954907,0.5934291581108829,0.6276849642004774,0.6495732547562896,0.6455209451031868
