,Accuracy,Precision,Recall (Sensitivity),Specificity,F1-Score,ROC-AUC,Balanced Accuracy
Chronos,0.8,0.7416879795396419,0.830945558739255,0.7760532150776053,0.7837837837837838,0.8558186519609401,0.8034993869084301
ViT-STFT,0.7094907407407407,0.6105263157894737,0.9230769230769231,0.5441478439425051,0.7349524815205913,0.7115670564654492,0.7336123835097141
ResNet18-STFT,0.7268518518518519,0.6385068762278978,0.8620689655172413,0.62217659137577,0.7336343115124153,0.7758920255556948,0.7421227784465056
ViT-FFT,0.6944444444444444,0.596252129471891,0.9283819628647215,0.5133470225872689,0.7261410788381742,0.7684246646223564,0.7208644927259953
EfficientNet-STFT,0.7210648148148148,0.6365461847389559,0.8408488063660478,0.6283367556468172,0.7245714285714285,0.7203497840402181,0.7345927810064325
ViT-CWT,0.6828703703703703,0.5868465430016864,0.9230769230769231,0.49691991786447637,0.7175257731958763,0.6802106765287392,0.7099984204706997
EEG-Conformer,0.7048611111111112,0.6186770428015564,0.843501326259947,0.5975359342915811,0.7138047138047138,0.6885603952091242,0.720518630275764
ResNet18-FFT,0.6817129629629629,0.5876288659793815,0.9071618037135278,0.5071868583162218,0.7132429614181439,0.7101672667062456,0.7071743310148748
EfficientNet-FFT,0.6840277777777778,0.5921985815602837,0.8859416445623343,0.5277207392197125,0.7098831030818279,0.666182822346527,0.7068311918910234
CNN-FFT,0.6863425925925926,0.5977859778597786,0.8594164456233422,0.5523613963039015,0.705114254624592,0.7486533151052022,0.7058889209636219
CNN-STFT,0.7291666666666666,0.6731234866828087,0.7374005305039788,0.7227926078028748,0.7037974683544304,0.7870794503238036,0.7300965691534268
LightGBM,0.7048611111111112,0.6331877729257642,0.7692307692307693,0.6550308008213552,0.6946107784431138,0.6935440824841094,0.7121307850260623
RandomForest,0.7002314814814815,0.6282608695652174,0.76657824933687,0.648870636550308,0.6905615292712067,0.7396636147255703,0.7077244429435889
EfficientNet-CWT,0.6504629629629629,0.5656742556917689,0.8567639257294429,0.49075975359342916,0.6814345991561181,0.6035054657160441,0.673761839661436
XGBoost,0.6909722222222222,0.6211453744493393,0.7480106100795756,0.6468172484599589,0.6787003610108303,0.6767139254571104,0.6974139292697672
ResNet18-CWT,0.6701388888888888,0.5950413223140496,0.7639257294429708,0.5975359342915811,0.6689895470383276,0.7125910271842438,0.680730831867276
LogisticRegression,0.6585648148148148,0.5847107438016529,0.7506631299734748,0.5872689938398358,0.6573751451800233,0.6743609714649862,0.6689660619066553
SVM,0.6666666666666666,0.5986696230598669,0.7161803713527851,0.6283367556468172,0.6521739130434783,0.7242359707841547,0.6722585634998012
CNN-CWT,0.6307870370370371,0.5591836734693878,0.726790450928382,0.5564681724845996,0.6320645905420992,0.6553140267648516,0.6416293117064908
