,Accuracy,Precision,Recall (Sensitivity),Specificity,F1-Score,ROC-AUC,Balanced Accuracy
Chronos,0.8260869565217391,0.7333333333333333,1.0,0.6666666666666666,0.8461538461538461,0.8257575757575758,0.8333333333333333
ViT-FFT,0.782608695652174,0.6875,1.0,0.5833333333333334,0.8148148148148148,0.8257575757575757,0.7916666666666667
EEG-Conformer,0.782608695652174,0.7142857142857143,0.9090909090909091,0.6666666666666666,0.8,0.7727272727272727,0.7878787878787878
ResNet18-FFT,0.7391304347826086,0.6470588235294118,1.0,0.5,0.7857142857142857,0.7878787878787878,0.75
ViT-CWT,0.7391304347826086,0.6470588235294118,1.0,0.5,0.7857142857142857,0.7348484848484849,0.75
EfficientNet-FFT,0.7391304347826086,0.6470588235294118,1.0,0.5,0.7857142857142857,0.8106060606060606,0.75
ResNet18-STFT,0.7391304347826086,0.6666666666666666,0.9090909090909091,0.5833333333333334,0.7692307692307693,0.8409090909090909,0.7462121212121212
EfficientNet-STFT,0.7391304347826086,0.6666666666666666,0.9090909090909091,0.5833333333333334,0.7692307692307693,0.7803030303030303,0.7462121212121212
CNN-STFT,0.7391304347826086,0.6923076923076923,0.8181818181818182,0.6666666666666666,0.75,0.8409090909090909,0.7424242424242424
ViT-STFT,0.6956521739130435,0.625,0.9090909090909091,0.5,0.7407407407407407,0.7272727272727273,0.7045454545454546
CNN-FFT,0.6956521739130435,0.625,0.9090909090909091,0.5,0.7407407407407407,0.8106060606060606,0.7045454545454546
RandomForest,0.6956521739130435,0.6428571428571429,0.8181818181818182,0.5833333333333334,0.72,0.6742424242424243,0.7007575757575758
SVM,0.6956521739130435,0.6428571428571429,0.8181818181818182,0.5833333333333334,0.72,0.7348484848484849,0.7007575757575758
EfficientNet-CWT,0.6521739130434783,0.5882352941176471,0.9090909090909091,0.4166666666666667,0.7142857142857143,0.6742424242424242,0.6628787878787878
LogisticRegression,0.6521739130434783,0.6,0.8181818181818182,0.5,0.6923076923076923,0.7651515151515151,0.6590909090909092
ResNet18-CWT,0.6521739130434783,0.6,0.8181818181818182,0.5,0.6923076923076923,0.75,0.6590909090909092
LightGBM,0.6521739130434783,0.6,0.8181818181818182,0.5,0.6923076923076923,0.7045454545454546,0.6590909090909092
XGBoost,0.6521739130434783,0.6,0.8181818181818182,0.5,0.6923076923076923,0.6893939393939394,0.6590909090909092
CNN-CWT,0.6086956521739131,0.5714285714285714,0.7272727272727273,0.5,0.64,0.7045454545454546,0.6136363636363636
